dataset	example_uid	question	answer	incorrect	correct	evidence
movieQA	9315	What is the Fraternity ?	A secret society of soldiers	The Fraternity is a secret society of soldiers .	The Fraternity is a secret society of assassins .	"Wesley wakes up in the headquarters of the Fraternity, a secret society of assassins.
"
movieQA	5845	How does Haggard die ?	Haggard drives off aurora bridge and is killed	Haggard dies from driving off aurora bridge .	Haggard dies by driving off a cliff .	"Due to an error in judgement, Haggard drives off a cliff and is killed.
"
movieQA	5812	What do Clime and Graeme see while driving on a desert highway at night ?	A car hitting a deer .	Clime and Graeme see a car hitting a deer while driving on a desert highway at night .	Clime and Graeme see a car crash while driving on a desert highway at night .	"While driving on a remote desert highway at night, Graeme and Clive observe a car driving erratically and then crash.
"
movieQA	158	What does Northup ask the Canadian laborer to do for him ?	To help him hide his earnings	Northup asks the Canadian laborer to help him hide his earnings .	Northup asks the Canadian laborer to send a letter to Saratoga Springs for him .	"Once again, Northup asks for help in getting a letter to Saratoga Springs.
"
movieQA	4741	What is Bud obsessed with ?	He is obsessed with collecting toys .	Bud is obsessed with collecting toys	Bud is obsessed with violently punishing woman-beaters .	"Officer Wendell ""Bud"" White, whom Exley considers a ""mindless thug"", is a plainclothes officer obsessed with violently punishing woman-beaters.
"
movieQA	1569	What is Blade 's real name ?	Earl Brooks	Blade 's real name is Earl Brooks .	Blade 's real name is Eric Brooks .	"In the middle of the carnage, the armor-clad vampire-hunter Eric ""Blade"" Brooks arrives and kills a number of vampires in the club, leaving Frost's right-hand man Quinn alive and horribly burned as the police arrive on the scene.
"
movieQA	3320	Where does Abin Sur land ?	Ryut	Abin Sur lands in Ryut .	Abin Sur lands on Earth .	"Parallax then pursues and nearly kills Abin Sur, who escapes and crash-lands on Earth where he commands his ring to find a worthy successor.
"
movieQA	2746	What is Shep by profession ?	A loan assessor	Shep is a loan assessor by profession .	Shep is a mechanic by profession .	"With help from Shep Proudfoot, an ex-convict and mechanic co-worker, Jerry is introduced to criminals Carl Showalter and Gaear Grimsrud .
"
movieQA	4906	Where do Eddy and his friends spend the night after successful heist ?	Eddy 's father 's motel	Eddy and his friends spend the night after successful heist in Eddy 's father 's motel .	Eddy and his friends spend the night at Eddy 's father 's bar , after the successful heist .	"Eddy and his friends go out to celebrate their successful heist, and spend the night at Eddy's father's bar.
"
movieQA	6266	How is April 's acting career ?	It is not very successful , as she is performing only in small city theatres .	April 's acting career is not very successful as she is performing only in small city theaters .	April 's acting career is not successful at all .	"April fails to make a career out of acting, while Frank hates the tedium of his work.
"
movieQA	7333	Who shoots at Jason ?	Dr. Hirsch	Dr. Hirsch shoots at Jason .	Vosen shoots at Jason .	"Paz lowers his gun, but Vosen appears and shoots at Jason as he collapses into the East River.
"
movieQA	2096	Why do the police open fire on Evelyn ?	Because she is overspeeding	The police open fire on Evelyn because she is overspeeding .	The police open fire on Evelyn because she shoots Cross .	"Evelyn will not allow Cross to approach Katherine, and when he is undeterred she shoots him in the arm and drives away with Katherine.
"
movieQA	10720	Why does Nick decide to stay with Amy when she tells him that she is pregnant ?	Because Margo convinces Nick to stay with Amy for the baby 's sake	Nick decides to stay with Amy when she tells him that she is pregnant because Margo convinces Nick to stay with Amy for the baby 's sake .	Nick decides to stay with Amy when she tells him that she is pregnant because he feels responsible for the child .	"Nick reacts violently to Amy's insistence that they remain married, but feels responsible for the child.
"
movieQA	3822	Where does Drago imprison Hiccupo and the other riders ?	Drago imprison Hiccup and the others in the jungle	Drago imprisons Hiccup and the others in the jungle .	Drago imprisons Hiccup and the other riders by marooning them on the island .	"Drago maroons Hiccup and the others on the island and rides Toothless, again under the control of the Bewilderbeast, to lead his army to conquer Berk.
"
movieQA	5916	What is the requirement to become the captain of the Flying Dutchman ?	One has to be a captain for over a century	One has to be a captain for over a century to become the captain of the Flying Dutchman .	To become the captain of the Flying Dutchman , one 's heart must be cut out .	"They learn the Dutchman must have a captain, and their heart must be cut out to captain the vessel.
"
movieQA	11263	Which of Lucy 's siblings follows her into the wardrobe one night ?	Peter	Lucy 's sibling , Peter , follows her into the wardrobe one night .	Edmund follows Lucy into the wardrobe one night .	"One night, Edmund follows Lucy into the wardrobe.
"
movieQA	10064	Why does Jim decide to take the tour off the main course ?	Because it is a short cut	Jim decides to take the tour off the main course because it is a short cut .	Jim decides to take the tour off the main course to find larger fish .	"He then suggests that they steer off course, deeper into the swamps, where he believes fish larger than usual may be.
"
movieQA	5003	How does Mary feel at first about Paulie and Tori having sex in their room ?	She is comfortable with it	Mary is comfortable with Paulie and Torie having sex in their room .	At first Mary feels like an intruder about Paulie and Tori having sex in their room .	"Over time, Paulie and Tori become more comfortable showing affection in front of Mary.
 It progresses from a quick kiss on the lips in front of her to the two sharing a bed and having sex while they think Mary is sleeping.
 At first, Mary is shy about sharing a room with the two lovers and feels like an intruder.
"
movieQA	122	Why is Bianca unhappy with Cameron ?	Because he started dating someone else	Bianca is unhappy with Cameron because he started dating someone else .	Bianca is unhappy with Cameron because he has n't asked her to the prom .	"Bianca is irritated that Cameron hasn't asked her to the prom, and so accepts Joey's invitation, but Walter won't allow it unless Kat goes too.
"
movieQA	2944	Why does Hans show up at Elsa 's palace ?	He is looking for Kristoff	Hans shows up at Elsa 's palace because he is looking for Kristoff .	Hans shows up at Elsa 's palace looking for Anna .	"Meanwhile, Hans, who is leading a search for Anna, reaches Elsa's palace.
"
movieQA	4605	What is Jake Schram 's occupation ?	Bartender	Jake Schram 's occupation is of a Bartender .	Jake Schram is a Rabbi .	"Havel .
"
movieQA	4719	Which three LAPD officers decide to individually investigate the Nite Owl case ?	Vincennes , Exley , and Smith	Vincennes , Exley , and Smith are the three LAPD officers decide to individually investigate the Nite Owl case .	Vincennes , Exley , and White are the three LAPD officers that decide to individually investigate the Nite Owl case .	"The three men individually investigate the Nite Owl killings, which initially look like a botched robbery resulting in six homicides, and concurrent events which reveal indications of corruption all around them.
"
movieQA	6817	What did Anakin make as he is a skilled engineer ?	A Podracer named C-3PO	Anakin , a skilled engineer , made a Podracer named C-3PO .	Anakin made a protocol droid named C-3PO as he is a skilled engineer .	"There they meet the shop's owner Watto and his nine-year-old slave Anakin Skywalker, who is a gifted Podracer pilot and engineer, and has created a protocol droid called C-3PO.
"
movieQA	10369	Where is the Valley tribesmen sacred text from ?	From a newspaper	The Valley tribesmen sacred text is from a newspaper .	The Valley tribesmen secret text is from the broadcast of Sonmi-451 's manifesto .	"The Valley tribesmen worship Sonmi-451; their sacred text is taken from the broadcast of her manifesto.
"
movieQA	3956	What do Jones and his group find in a chamber in the temple ?	The crystal skeletons of 30 enthroned beings	Jones and his group find crystal skeletons of 30 enthroned beings in a chamber in the temple .	Jones and his group find the crystal skeletons of 13 enthroned beings in a chamber in the temple .	"The five enter a chamber containing the crystal skeletons of thirteen enthroned skeletal crystal beings, one missing its skull.
"
movieQA	7149	What does Ted tell John before he dies ?	That he is sorry	Ted tells John that he is sorry before he dies .	Ted tells John before he dies that he wishes for him to be happy with Lori .	"As John and Lori gather Ted's stuffing, Ted relays his wish that John be happy with Lori, as the magic that gives him life fades away.
"
movieQA	10908	What happens when Alan rolls the dice with Judy , Peter and Sarah ?	Bats chase them all out of the house	Bats chase them all out of the house when Alan rolls the dice with Judy , Peter and Sarah .	When Alan rolls the dice with Judy , Peter and Sarah , a hunter named Van Pelt appears and starts hunting Alan .	"Sarah's move releases fast-growing man-eating vines, and Alan's next roll causes a big game hunter named Van Pelt to hunt Alan, until he runs out of ammunition, but he later buys a new gun.
"
movieQA	8369	Why does Theoden banish the Rohirrim ?	No reason in particular ; Theoden just felt like banishing them	Theoden banish the Rohirrim felt like banishing them .	Theoden banishes Rohirrim because Theoden is being manipulated by Grima Wormtongue .	"Aragorns group later meet the Rohirrim who have been banished by their king Theoden, who is manipulated by Sarumans servant Grima Wormtongue.
"
movieQA	6970	What is Jake doing at the beach when Melanie finds him ?	Skinny dipping	Jake is skinny dipping on the beach when Melanie found him .	Jake was planting metal rods to generate lightning to make more sand sculptures at the beach when Melanie found him .	"Melanie later finds Jake on their favorite childhood beach, planting metal rods to draw lighting to create more sand sculptures.
"
movieQA	2682	What does red colour represent from religious point of view ?	Gulit	The red colour represents guilt from a religious point of view .	The colour red represents martyrdom from a religious point of view .	"She is beheaded, ascending the block in a blood-red dress, red being the Catholic liturgical color for martyrs.
"
movieQA	4187	Where is the crime boss Lao Che from ?	London	The crime boss Lao Che is from London .	Shanghai is where the Crime boss Lao Che is from .	"In 1935, Indiana Jones - Indy narrowly escapes the clutches of Lao Che, a crime boss in Shanghai.
"
movieQA	2361	What is Graham Waters 's wife name ?	Jean	Graham Waters 's wife name is Jean .	Graham Waters ' wife 's name is Ria .	"The film begins with commentary by passenger Detective Graham Waters having suffered a car accident with his partner Ria .
"
movieQA	4061	What is the origin of Indy 's nickname according to Henry ?	Indiana was the name of the Jones ' family cat	The origin of Indy 's nickname according to Henry was the name of the Jones ' family cat .	The origin of Indy 's nickname according to Henry was that Indiana was the name of the Jones ' family dog .	"Afterwards, Henry reveals the origins of Indy's nickname to the group as the name of the family's former Malamute before they all ride off into the sunset.
"
movieQA	4942	What is Joe 's next target ?	His next target is Sara .	Joe 's next target is Sara .	Joe 's next target is Older Joe .	"When Joe's next target arrives, it is his own older self, with his face uncovered.
"
movieQA	10766	Who is Oswald Granger ?	He is the owner of the magazine BonChic .	Oswald Granger is the owner of the magazine BonChic .	Oswald Granger is a journalist for a magazine BonChic .	"Miley Stewart is struggling with her alter-ego and her popularity as Hannah Montana and keeping her double-life a secret from the media, but Oswald Granger, a sneaky undercover journalist for celeb magazine BonChic, becomes suspicious and vows to uncover her secret for his boss Lucinda .
"
movieQA	5591	What is the significance of the name ` Max ' given to the youngest Redlich ?	It is the name of Regina 's favorite cartoon character .	The significance of the name ` Max ' given to the youngest Redlich is that it is the name of Regina 's favorite cartoon character .	The name ` Max ' given to the youngest Redlich is significant because it is the name of Walter 's deceased father .	"In a narration, Regina states that her brother was born healthy and was named Max, after Walter's deceased father.
"
movieQA	9573	What happened back in 1973 , after Mystique killed Trask ?	Mystique was captured , and her DNA was used by Xavier to destroy the Sentinels .	Mystique was captured , and her DNA was used by Xavier to destroy the Sentinels in 1973 after she killed Trask .	In 1973 , after Mystique killed Trask she was captured and her DNA was used by Trask 's company to improve the Sentinels .	"Following the assassination, Mystique was captured, and her DNA was used by Trask's company to improve the Sentinels, whose ability to adapt to any mutant power makes them almost invincible.
"
movieQA	5053	What does Jamie realize when he comes back to England ?	That he prefers England to France	Jamie realizes that he prefers England to France .	Jamie realizes that he is in love with Aurlia when he comes back to England .	"When Jamie returns to England, he realises he is in love with Aurlia and begins learning Portuguese.
"
movieQA	377	What does Ula often smoke ?	Cigars	Ula often smokes cigars .	Ula often smokes marijuana .	"He shows no interest in committing to a serious relationship and his closest friends are Ula, a marijuana-smoking Islander; his assistant Alexa, whose sexuality and gender is unclear; Willy, his pet African penguin and Jocko, a walrus.
"
movieQA	4849	What happens to Brad when he tries to jump with a skateboard ?	He falls and breaks his arm	Brad fell and broke his arm when he tried to jump with a skateboard .	When Brad tries to jump with a skateboard , he falls and knocks himself out .	"Brad does so, but falls and knocks himself out.
"
movieQA	7696	Who is the executor of Madame D 's will ?	Ludwig	Ludwig is the executor of Madame D 's will .	The executor of Madame D 's will is Kovacs .	"Taking Zero along, he races to her wake and the reading of the will, where Kovacs, coincidentally the executor of the will, reveals that in her will she has bequeathed to Gustave a very valuable painting, Boy with Apple.
"
movieQA	9073	Who stopped the operation of the Control Pillar ?	Bumblebee	Bumblebee stopped the operation of the Control Pillar .	Optimus Prime stopped the operation of the Control Pillar .	"Working together, the Autobots and Human soldiers manage to rescue Carly and kill Laserbeak, Soundwave, Barricade, Starscream and Shockwave, with Optimus using Shockwave's arm-cannon to blast the Control Pillar, disabling the Space Bridge.
"
movieQA	1811	Why does Ennis refuse Jack 's proposal of living together ?	Because he loves his wife	Ennis refuses Jack 's proposal of living together , because he loves his wife .	Ennis refuses Jack 's proposal of living together because of a memory of the torture and murder of a suspected homosexual man .	"Jack broaches the subject of creating a life together on a small ranch, but Ennis, haunted by a childhood memory of the torture and murder of a man suspected of homosexual behavior, refuses.
 He is also unwilling to abandon his family.
"
movieQA	851	Why does Walter want the president declared incapable ?	To override Radek 's privacy	Walter wants the president declared incapable to override Radek 's privacy .	Walter wants the president declared incapable to override Radek 's release .	"Bennett is urged by Defense Secretary Walter Dean to declare the President incapable under the 25th amendment so as to override Radek's release, but she refuses.
"
movieQA	4139	What does the incantation Indy utters do ?	Turns the river to lava	The incantation Indy utters turns the river to lava .	The incantation Indy utters makes the stones glow red hot .	"Indy utters an incantation which causes the stones to glow red hot.
"
movieQA	10001	Where does the Joker set a trap for Vicki ?	At Gotham Police Station	The Joker sets a trap for Vicki at Gotham Police Station .	The Joker set a trap for Vicki at the Gotham Museum of Art .	"The Joker then sets a trap at the Gotham Museum of Art for Vicki, and he and his henchmen vandalize the surrounding works of art.
"
movieQA	9858	Why does Earl interrogate the vet who treated Trench 's wounds ?	No reason in particular	Earl interrogates the vet who treated Trench 's wounds for no reason in particular .	Earl interrogate the vet who treated Trench 's wounds so that he could track Trench 's movements .	"Meanwhile, a man named Earl aggressively interrogates the bank manager about the stolen money and also questions the vet who treated Trench's wounds as he tracks Trench's movements.
"
movieQA	4752	What does Exley consider Bud to be ?	Exley considers Bud to be a `` mindless killer '' ,	Exley considers Bud to be a `` mindless killer '' .	Exley considers Bud to be a `` mindless thug '' .	"Officer Wendell ""Bud"" White, whom Exley considers a ""mindless thug"", is a plainclothes officer obsessed with violently punishing woman-beaters.
"
movieQA	9158	What makes Achilles join Agamemnon 's soldiers in the end ?	Because he wants to die a hero	Achilles joined Agamemnon 's soldiers in the end because he wanted to die a hero .	Achilles join Agamemnon 's soldiers in the end because of what his mother tells him .	"Achilles, who strongly dislikes Agamemnon and his ways, initially refuses, but eventually decides to go after his mother, Thetis, tells him that though he will die, he will be forever remembered.
"
movieQA	5823	Where do Graeme , Clive , and Paul camp later ?	In a grocery store parking lot	Graeme , Clive , and Paul camp later at a grocery store parking lot .	Graeme , Clive , and Paul camp at an RV park run by Christian fundamentalists .	"Graeme, Clive and Paul camp at an RV park run by Christian fundamentalists Ruth Buggs and her father, Moses.
"
movieQA	7858	What happens as a result of Hilly firing the maid she hired to replace Minny ?	Skeeter 's book is published	Skeeter 's book is published as a result of Hilly firing the maid she hired to replace Minny .	More maids share their experiences with Skeeter as a result of Hilly firing the maid she hired to replace Minny .	"A culmination of the Medgar Evers assassination, and Hilly having Minny's replacement arrested for stealing a diamond ring, brings forth more maids than Skeeter could have hoped would speak out, as the maids realize Skeeter's book could give them an opportunity to make known what they experience in life.
"
movieQA	6695	What did Heller decide to do after he survived the FBI attempt on his life ?	He decided to leave New York .	Heller decides to leave New York after he survived the FBI attempt on his life .	After he survived the FBI attempt on his life , Heller decided to take on the role of Sparazza full-time .	"The FBI had attempted to kill Heller, after they thought his assignment had blurred the lines between being a mobster or an FBI agent.
 But Heller miraculously survived and ended up taking on the role as Sparazza full-time after his mind snapped.
"
movieQA	5032	Which actress does John especially like , according to Charlotte ?	Kate .	John especially like the actress Kate , according to Charlotte .	Kelly is the actress John especially likes , according to Charlotte .	"Charlotte is unsure of her future with John as she feels he is more interested in his celebrity models, particularly an American actress named Kelly, than her.
"
movieQA	6616	How does Jonah feel about his father 's new girlfriend Victoria ?	He does n't mind her	Jonah does not mind his father 's new girlfriend Victoria .	Jonah dislikes his father 's new girlfriend Victoria .	"Sam begins dating a co-worker, Victoria, whom Jonah dislikes.
"
movieQA	4659	What does Ben do for living ?	He works at a book store	Ben works at a book store for a living .	Ben works on a celebrity porn website for a living .	"Ben Stone is laid-back and sardonic.
 He lives off funds received in compensation for an injury and sporadically works on a celebrity porn website with his roommates, in between smoking marijuana or going off with them at theme parks such as Knott's Berry Farm.
"
movieQA	2665	How does Elliott make the alien come to his bedroom after it escapes from the tool shed ?	He leaves drops of honey	Elliott makes the alien come to his bedroom after it escapes from the tool shed by leaving drops of honey .	He leaves pieces of candy to make the alien come to his bedroom after it escapes from the tool shed .	"Despite his family's disbelief, he leaves Reese's Pieces candy to lure it to his bedroom.
"
movieQA	4870	What does Chris bring to Eddy and his friends at Eddy 's father 's bar ?	Money	Chris brings money to Eddy and his friends at Eddy 's father 's bar .	Chris brings Eddy and his friends a duffel bag at Eddy 's father 's bar .	"Meanwhile, Chris arrives to give the friends back the duffel bag.
"
movieQA	1787	How does Mark upset Bridget during dinner with their parents ?	Mark says he is not interested in having kids with Bridget	Mark upsets Bridget during dinner with their parents by saying he is not interested in having kids with her .	Mark upsets Bridget during dinner with their parents when Mark says marriage is not something they 're thinking about yet .	"When the subject of marriage comes up during conversation, Bridget is hurt by Mark's comment that it's not something they're even thinking about yet.
"
movieQA	11700	What is Jean Grey 's ability ?	She can control the weather	Jean Grey 's ability is that she can control the weather .	Jean Grey 's ability is that she is a telepath .	"Fellow telepath Jean Grey fixes Cerebro, and learns that Magneto plans to place his mutation-inducing machine on Liberty Island and use it to mutate the world leaders meeting for a summit on nearby Ellis Island.
"
movieQA	9177	What , according to Edward , do the Cullens eat ?	Only blood of criminals .	According to Edward , the Cullens only eat the blood of criminals .	The Cullen 's eat only animal blood according to Edward .	"He eventually confirms this but says he and the other Cullens only consume animal blood.
"
movieQA	10197	What anti-gay protest group do Bruno and Lutz encounter while still stuck in bondage gear ?	The Sanctity of Marriage group	Bruno and Lutz encounter The Sanctity of Marriage group while still stuck in bondage gear .	Bruno and Lutz encountered the Westboro Baptist Church members while being stuck in bondage gear .	"After accosting a group of anti-gay protesters from the Westboro Baptist Church while still in bondage gear and boarding a bus, Brno and Lutz remove their equipment at Madison County Office of Alternative Sentencing and Release in Huntsville, Alabama.
"
movieQA	10780	What project were Miley and Travis working on together ?	Building a pigsty	Building a pigsty is the project Miley and Travis are working on together .	Miley and Travis working on building a kitchen coop together .	"Miley finishes the chicken coop that she and Travis were building.
"
movieQA	6116	Why does Charlie ask his employee to lie to the buyers in the beginning of the movie ?	So he can order for other vehicles	Charlie asks his employee to lie to the buyers in the beginning of the movie so he can order for other vehicles .	Charlie aska his employee to lie to the buyers in the beginning of the movie to resolve the issue with the EPA .	"He needs to deliver the vehicles to impatient buyers who have already made down payments in order to repay the loan he took out to buy the cars, but the EPA is holding the cars at the port due to the cars failing emissions regulations.
"
movieQA	9462	What does Suzie confess to during the trial ?	She confesses that she and Lombardo made everything up to get revenge on Kelly	During the trial , Suzie confesses that she and Lombardo made everything up to get revenge on Kelly .	Suzie confesses that she and Kelly made everything up to get revenge on Lombardo .	"At trial, Suzie admits that she and Kelly had made everything up to get revenge on Lombardo: Suzie for him failing to bail her out of jail on a minor drug charge and Kelly for him having an affair with her mother, Sandra.
"
movieQA	6571	Who is Nikki ?	Pat 's father 's friend	Nikki is Pat 's father 's friend .	Nikki is Pat 's wife .	"Pat soon learns that his wife, Nikki, has moved away, and that his father is out of work and resorting to illegal bookmaking to earn money with the hopes of opening a restaurant.
"
movieQA	828	Where is Marshall taken to after the plane is hijacked ?	He is raced to an escape pod in the cockpit	Marshall raced to an escape pod in the cockpit after the plane was hijacked .	Marshall is taken to an escape pod in the Cargo hold after the plane is hijacked .	"Marshall is raced to an escape pod in the cargo hold while pursued by the loyalists' leader, Ivan Korshunov .
"
movieQA	848	What does Marshall do after he kills Korshunov ?	Marshall races back to revoke his wish	Marshall races back to revoke his wish after he kills Korshunov .	After he kills Korshunov , Marshall races back to rescind his order	"Marshall races back to rescind his order, and Radek is subsequently killed when he attempts to escape.
"
movieQA	2895	Why do Dylan and Jamie decide to have sex without emotions ?	They feel they could never work out as a couple .	Dylan and Jamie decide to have sex without emotions because they feel they could never work out as a couple .	Dylan and Jamie decide to have sex without emotions because they do n't want to mix sex with emotions , but feel the need for a physical connection .	"Not knowing anyone else in the city, he and Jamie quickly develop a strong platonic friendship.
"
movieQA	8587	Why does Brooks hang himself after being released from the jail ?	Because he is being blackmailed .	Brooks hang himself after being released from the jail , because he was being blackmailed .	Brooks hangs himself after being released from the jail because he fails to adjust to the outside world .	"In 1954, Brooks is paroled, but cannot adjust to the outside world after fifty years in prison and hangs himself.
"
movieQA	6837	Where is Cloud City located ?	On the Earth .	Cloud City is located on the Earth .	Cloud City is located in the skies of the planet Bespin .	"After evading the Imperial Fleet, Han sets a course for Cloud City, a floating gas mining colony in the skies of the planet Bespin run by Han's old friend, Lando Calrissian.
"
movieQA	4051	How has the guard managed to stay alive for 700 years ?	Because of the power of the Ark	Because of the power of the Ark , the guard managed to stay alive for 700 years .	The guard has managed to stay alive for 700 years because of the power of the Grail .	"He has been kept alive for seven hundred years by the power of the Grail, which is hidden among dozens of fake Grails.
"
movieQA	7095	What happens when the brothel bouncer continues to harass Travis ?	Travis breaks his hand and then shoots him in the head	When the brothel bouncer continues to harass Travis , he breaks his hand and then shoots him in the head .	When the brothel bouncer continues to harass Travis , he stabs him in the hand and then shoots him in the head .	"The bouncer continues to harass Travis, causing Travis to stab him in the hand and shoot him in the head to kill him.
"
movieQA	11477	Where is Old Haven on Martha 's Vineyard village located ?	In New York	Old Haven on Martha 's Vineyard village located in New York .	Old Haven on Martha 's Vineyard village is located in Massachusetts .	"The writer travels to the fictional Massachusetts village of Old Haven on Martha's Vineyard, where Lang is staying with his wife, Ruth, in the house of Marty Rhinehart, the company owner, and a staff of servants and security personnel.
"
movieQA	9786	Where does Allen work in 1983 ?	Airport	Allen worked in the airport in 1983 .	Allen works in Vallejo Ace Hardware store in 1983 .	"In December 1983, Graysmith tracks Allen down to a Vallejo Ace Hardware store, where he is employed as a sales clerk.
"
movieQA	7866	What is the primary reason Hilly gives to justify the need for separate toilets for the black help ?	That because black people eat different food from white people	Hilly justifies the need for separate toilets for the black help because black people eat different food from white people .	The primary reason Hilly gives to justify the need for separate toilets for the black help is that black people carry different diseases than white people .	"Upon spending time with Aibileen one-on-one, Skeeter becomes increasingly uncomfortable with the attitude of her white socialite female friends towards their ""help"", especially after learning of Hilly's ""Home Help Sanitation Initiative"", a plan to legislate mandatory separate toilets for black domestic help because ""black people carry different diseases than white people"".
"
movieQA	9318	What does Wesley do to Barry on his way out of the office ?	He punches Barry in the face	Wesley punches Barry in the face .	Wesley hits barry in the face with his keyboard on his way out of the office .	"He picks up a keyboard and during his exit, rearranges Barry's face with it.
"
movieQA	2403	Who is Annette staying with temporarily ?	Sebastian 's best friend	Annette is staying with Sebastian 's best friend temporarily .	Annette is temporarily staying with Sebastian 's aunt .	"Annette is a 'paradigm of chastity and virtue' who recently wrote a published essay about saving herself for marriage and has been temporarily staying with Sebastian's aunt.
"
movieQA	7815	After John 's execution , where does Paul start working ?	A convenience store	After John 's execution , Paul starts working at a convenience store .	Paul starts working at a youth detention center after John 's execution .	"As an elderly Paul finishes his story, he notes that he requested a transfer to a youth detention center, where he spent the remainder of his career.
"
movieQA	4043	What type of car does the Sultan of Hatay get from the Nazis ?	A Ford Victoria	The Sultan of Hatay gets a Ford Victoria from the Nazis .	The Sultan of Hatay gets a Rolls-Royce Phantom II from the Nazis .	"In exchange for a Rolls-Royce Phantom II, the Sultan of Hatay has given the Nazis full access to his equipment for the expedition, including a large tank.
"
movieQA	5902	Which two ships were fighting in the whirlpool ?	The Queen Anne 's Revenge and the Pearl	The Queen Anne 's Revenge and the Pearl were fighting in the whirlpool .	The Pearl and the Dutchman were the two ships that were fighting in the whirlpool .	"The Pearl and the Dutchman do battle in the maelstrom, with both Will and Elizabeth being wed by Barbossa before swinging over to the Dutchman to aid Jack.
"
movieQA	11432	What does Kevin say when he finds himself at Gettys ' trial again ?	He announces that he is moving to New York and dropping Gettys ' case	Kevin announces that he is moving to New York and dropping Gettys ' case when he finds himself at Getty 's trial again .	At Getty 's trial , Kevin announced that he could not represent his client despite the threat of being disbarred .	"Kevin finds himself at the recess of the Gettys trial.
 Kevin announces that he cannot represent his client despite the threat of being disbarred.
"
movieQA	7685	What does Agatha die from ?	The Russian pneumonia .	Agatha dies from the Russian pneumonia .	Agatha died from The Prussian Grippe .	"Agatha succumbs to ""the Prussian Grippe"" and dies two years later, as does her infant son.
"
movieQA	2208	Who is Cher 's best friend ?	Murray	Murray is Cher 's best friend .	Cher 's best friend is Dionne Davenport .	"Cher's best friend is Dionne Davenport, who is also rich, pretty, and hip, and understands what it's like to be envied.
"
movieQA	7379	What song does Dil sing when Fergus first meets her ?	Brothers in Arms	Dil sings Brothers in Arms when Fergus first meets her .	Dil sings The Crying Game when Fergus first meets her .	"A few months later, Fergus finds Dil at a hair salon.
"
movieQA	887	What does Salieri think God is trying to say to him through Mozart ?	That God is teaching him a lesson in humility	Salieri thinks God is teaching him a lesson in humility through Mozart .	Salieri thinks that God is laughing at his musical mediocrity and trying to say it to him through Mozart .	"He believes that God, through Mozart's genius, is cruelly laughing at Salieri's own musical mediocrity.
"
